char1,char1wins,char2wins,char2,p1id,p2id
Fox,0,7,Fox,1,2
Peach,1,0,Captain Falcon,1,2
Peach,0,1,Falco,1,2
Peach,34,23,Fox,1,2
Peach,2,2,Marth,1,2
Peach,2,0,Fox,1,4
Peach,24,15,Marth,1,4
Peach,3,0,Sheik,1,4
Fox,46,30,Jigglypuff,1,5
Fox,17,12,Fox,1,6
Peach,1,1,Fox,1,6
Sheik,1,6,Fox,1,6
Peach,5,1,Pikachu,1,7
Peach,9,3,Falco,1,9
Peach,2,0,Fox,1,9
Peach,1,0,Marth,1,9
Peach,6,0,Marth,1,26
Peach,3,0,Samus,1,24
Peach,3,0,Captain Falcon,1,23
Peach,3,0,Peach,1,21
Peach,6,3,Captain Falcon,1,20
Peach,3,0,Sheik,1,18
Peach,8,1,Fox,1,17
Fox,4,0,Fox,1,15
Peach,14,4,Fox,1,15
Fox,1,0,Falco,1,14
Fox,2,1,Fox,1,14
Peach,2,0,Fox,1,13
Peach,7,1,Sheik,1,13
Fox,3,1,Fox,1,12
Fox,5,1,Sheik,1,11
Peach,1,2,Sheik,1,11
Peach,6,1,Ice Climbers,1,39
Peach,2,0,Sheik,1,40
Peach,11,1,Samus,1,43
Peach,3,1,Fox,1,47
Peach,3,0,Fox,1,390
Peach,3,0,Fox,1,400
Peach,6,0,Sheik,1,403
Peach,3,0,Ice Climbers,1,407
Peach,5,0,Samus,1,409
Peach,1,0,Fox,1,413
Peach,2,0,Sheik,1,413
Peach,3,0,Peach,1,414
Peach,5,0,Captain Falcon,1,430
Peach,1,0,Ganon,1,430
Peach,3,0,Ice Climbers,1,517
Falco,17,12,Marth,2,4
Falco,4,3,Sheik,2,4
Fox,7,5,Marth,2,4
Falco,2,7,Jigglypuff,2,5
Fox,53,49,Jigglypuff,2,5
Falco,9,10,Fox,2,6
Marth,0,1,Fox,2,6
Falco,5,8,Pikachu,2,7
Fox,10,5,Pikachu,2,7
Mario,0,1,Young Link,2,7
Falco,6,4,Marth,2,8
Fox,2,1,Marth,2,8
Fox,15,9,Falco,2,9
Fox,2,0,Falco,2,27
Falco,5,0,Marth,2,26
Fox,3,2,Marth,2,26
Falco,2,0,Ice Climbers,2,25
Fox,6,1,Ice Climbers,2,25
Falco,3,0,Samus,2,24
Fox,3,0,Samus,2,24
Falco,12,0,Captain Falcon,2,23
Fox,12,4,Captain Falcon,2,23
Fox,2,0,Marth,2,22
Fox,9,0,Peach,2,21
Falco,2,0,Captain Falcon,2,20
Falco,1,0,Falco,2,20
Fox,3,2,Captain Falcon,2,20
Falco,3,0,Sheik,2,18
Falco,9,3,Fox,2,17
Falco,17,0,Fox,2,15
Falco,3,0,Fox,2,14
Fox,3,1,Fox,2,14
Falco,3,2,Fox,2,13
Falco,3,0,Samus,2,13
Falco,7,8,Sheik,2,13
Fox,5,1,Samus,2,13
Fox,7,3,Sheik,2,13
Falco,9,6,Fox,2,12
Fox,1,3,Fox,2,12
Marth,3,2,Fox,2,12
Fox,1,1,Marth,2,11
Fox,11,4,Sheik,2,11
Falco,4,2,Ice Climbers,2,39
Fox,4,8,Ice Climbers,2,39
Falco,3,2,Samus,2,43
Fox,3,1,Samus,2,43
Falco,3,0,Fox,2,47
Fox,3,0,Fox,2,47
Falco,8,3,Fox,2,49
Falco,1,0,Fox,2,50
Falco,1,0,Sheik,2,50
Falco,2,0,Fox,2,378
Marth,0,1,Fox,2,378
Falco,2,0,Captain Falcon,2,387
Fox,2,1,Jigglypuff,2,388
Fox,2,0,Fox,2,432
Falco,3,0,Falco,2,396
Marth,1,0,Peach,2,402
Marth,2,0,Sheik,2,402
Falco,5,0,Sheik,2,403
Fox,6,3,Sheik,2,403
Fox,6,1,Ice Climbers,2,407
Fox,2,0,Samus,2,409
Falco,3,1,Luigi,2,410
Fox,3,0,Captain Falcon,2,430
Falco,3,0,Captain Falcon,2,436
Fox,2,0,Captain Falcon,2,436
Fox,6,0,Peach,2,437
Falco,3,1,Fox,2,441
Captain Falcon,0,3,Ice Climbers,2,449
Captain Falcon,1,3,Fox,2,452
Falco,2,0,Fox,2,459
Marth,2,1,Fox,2,460
Fox,33,45,Jigglypuff,4,5
Marth,0,1,Jigglypuff,4,5
Sheik,1,5,Jigglypuff,4,5
Marth,16,7,Fox,4,6
Sheik,1,1,Fox,4,6
Fox,0,1,Pikachu,4,7
Sheik,2,0,Marth,4,7
Sheik,15,10,Pikachu,4,7
Marth,2,1,Marth,4,8
Sheik,6,1,Marth,4,8
Marth,8,3,Falco,4,9
Sheik,1,0,Donkey Kong,4,9
Sheik,0,1,Falco,4,9
Sheik,3,0,Falco,4,27
Marth,13,3,Marth,4,26
Sheik,13,2,Marth,4,26
Marth,1,0,Ice Climbers,4,25
Peach,5,4,Ice Climbers,4,25
Sheik,3,0,Samus,4,24
Fox,0,1,Captain Falcon,4,23
Sheik,21,10,Captain Falcon,4,23
Marth,9,1,Fox,4,22
Sheik,2,0,Fox,4,22
Marth,9,2,Peach,4,21
