p1id,p2id
26,24
26,23
26,21
26,20
26,17
26,15
26,13
26,12
26,11
26,38
26,43
26,47
26,49
26,378
26,388
26,392
26,407
26,413
26,430
26,436
26,437
26,3869
25,23
25,21
25,20
25,13
25,12
25,11
25,40
25,43
25,47
25,381
25,403
25,441
25,516
24,22
24,17
24,14
24,12
24,11
24,39
24,47
24,388
24,430
24,2027
23,21
23,20
23,18
23,17
23,16
23,13
23,12
23,38
23,39
23,40
23,43
23,47
23,55
23,381
23,391
23,392
23,400
23,409
23,414
23,430
23,447
23,457
23,460
22,17
22,15
22,13
22,12
22,43
22,49
22,391
22,433
22,436
22,437
22,448
22,517
22,2027
21,20
21,14
21,13
21,11
21,43
21,44
21,47
21,392
21,400
21,407
21,430
20,17
20,15
20,14
20,13
20,12
20,11
20,39
20,40
20,43
20,46
20,47
20,391
20,392
20,395
20,396
20,403
20,407
20,430
20,517
18,11
18,43
18,403
17,15
17,13
17,12
17,11
17,43
17,47
17,378
17,392
17,407
17,430
17,437
17,457
17,3869
16,13
16,12
16,436
15,14
15,13
15,12
15,11
15,38
15,46
15,47
15,49
15,391
15,400
15,403
15,430
15,431
15,446
15,457
14,13
14,12
14,43
14,47
14,390
14,392
14,407
13,12
13,11
13,39
13,43
13,46
13,47
13,378
13,379
13,388
13,400
13,403
13,407
13,430
12,11
12,39
12,43
12,47
12,71
12,381
12,400
12,403
12,407
12,433
12,437
12,460
12,3869
11,39
11,43
11,50
11,380
11,388
11,400
11,403
11,407
11,409
11,430
37,489
38,437
38,441
39,43
39,47
39,49
39,381
39,391
39,517
40,43
40,403
40,448
40,453
43,47
43,49
43,55
43,378
43,392
43,403
43,430
43,437
46,407
47,390
47,400
47,403
47,433
47,448
47,453
49,400
49,430
49,516
49,517
51,410
378,403
378,3869
379,413
381,432
381,491
381,2027
384,403
388,395
388,403
388,430
390,471
391,460
392,403
392,430
392,453
432,436
